Syntax,Description,L1_Language,L2_Category,Priority,Example,Note
import module,Import entire module,PYTHON,Functions,Core,import os,Prefer explicit imports; place at file top
from x import y,Import specific item,PYTHON,Functions,Core,from math import sqrt,Avoid 'from x import *' except in __init__.py
[x for x in lst],List comprehension,PYTHON,Collections,Core,[x*2 for x in range(5)],More readable than map/filter for simple transforms
{k: v for ...},Dict comprehension,PYTHON,Collections,Advanced,{x: x*2 for x in range(5)},Great for transforming or filtering dictionaries
f"string {var}",Formatted string literal,PYTHON,Strings,Core,f"Name: {name}",Preferred over .format() and % formatting
s.split() / s.join(),String split and join,PYTHON,Strings,Core,s.split(","),join() is on separator string not list
s.strip() / s.replace(),String manipulation,PYTHON,Strings,Core,s.strip(),Always strip user input; strings are immutable
len() / range() / enumerate(),Common built-in functions,PYTHON,Functions,Core,len(lst),Use enumerate() to get index and value together
zip(a; b),Parallel iteration,PYTHON,Functions,Core,"for x, y in zip(a, b):",Stops at shortest; use zip_longest for all elements
sorted() / reversed(),Sorting functions,PYTHON,Functions,Core,sorted(lst; key=lambda x: x),Returns new list; use list.sort() for in-place
type() / isinstance(),Type checking,PYTHON,Data Types,Core,isinstance(x; int),Prefer isinstance() for inheritance support
+ - * / // % **,Arithmetic operators,PYTHON,Operators,Core,x + y,Use // for integer division; / always returns float
== != < > <= >=,Comparison operators,PYTHON,Operators,Core,x == y,Use == for value; is for identity (None/singletons)
and / or / not,Logical operators,PYTHON,Operators,Core,x and y,Short-circuit evaluation; returns actual value not bool
in / not in,Membership operators,PYTHON,Operators,Core,"x in [1, 2, 3]",O(1) for sets/dicts; O(n) for lists
is / is not,Identity operators,PYTHON,Operators,Advanced,x is None,Only use for None/True/False/singletons
: -> (type hints),Type annotations,PYTHON,Data Types,Advanced,def f(x: int) -> str:,Improves IDE support and catches bugs early
@dataclass,Dataclass decorator,PYTHON,OOP,Advanced,@dataclass class Point:,Auto-generates __init__ __repr__ __eq__; use for data containers
spark.read.table(),Read table from catalog,PYSPARK,I/O,Core,spark.read.table("Sales"),Preferred for catalog tables; uses Unity Catalog metadata
spark.read.parquet(),Read Parquet files,PYSPARK,I/O,Core,spark.read.parquet("path/"),Best format for analytics; columnar with compression
spark.read.csv(),Read CSV files with options,PYSPARK,I/O,Core,spark.read.option("header";"true").csv(),Always set header and inferSchema options explicitly
spark.read.json(),Read JSON files,PYSPARK,I/O,Core,spark.read.json("path/"),Each line must be valid JSON; use multiLine for arrays
spark.read.format().load(),Read with explicit format,PYSPARK,I/O,Core,spark.read.format("delta").load("path"),Required for Delta; explicit format is clearer
spark.sql(),Execute SQL query string,PYSPARK,I/O,Core,spark.sql("SELECT * FROM table"),Mix SQL with DataFrame API as needed
spark.conf.set(),Set Spark configuration,PYSPARK,I/O,Core-N,spark.conf.set("spark.sql.shuffle.partitions";"200"),Tune shuffle partitions based on data size
spark.catalog.listTables(),List tables in catalog,PYSPARK,I/O,Advanced,spark.catalog.listTables(),Useful for dynamic table discovery
df.write.format().save(),Write with format to path,PYSPARK,I/O,Core,df.write.format("delta").save("path"),Use Delta format for ACID transactions
df.write.saveAsTable(),Write as managed table,PYSPARK,I/O,Core,df.write.saveAsTable("tablename"),Creates managed table in metastore
df.write.mode(),Specify write mode,PYSPARK,I/O,Core,df.write.mode("overwrite"),Use append for incremental; overwrite for full refresh
df.write.partitionBy(),Partition output by columns,PYSPARK,I/O,Core-N,df.write.partitionBy("year";"month"),Partition on low-cardinality columns for query pruning
df.write.option(),Set write options,PYSPARK,I/O,Core,df.write.option("mergeSchema";"true"),Enable schema evolution when structure changes
df.select(),Select columns from DataFrame,PYSPARK,Columns,Core,df.select("col1"; "col2"),Only select needed columns for performance
df.selectExpr(),Select with SQL expressions,PYSPARK,Columns,Core,df.selectExpr("col1 as c1"),Useful for quick SQL-style transformations
df.withColumn(),Add or replace column,PYSPARK,Columns,Core,df.withColumn("new"; F.lit(1)),Chain multiple withColumn calls; creates new DataFrame
df.withColumnRenamed(),Rename existing column,PYSPARK,Columns,Core,df.withColumnRenamed("old";"new"),Use for cleaning column names from source
df.drop(),Drop columns from DataFrame,PYSPARK,Columns,Core,df.drop("col1"; "col2"),Remove sensitive or unnecessary columns early
F.col(),Reference column by name,PYSPARK,Columns,Core,F.col("amount"),Required for complex expressions and conditions
F.lit(),Create literal value column,PYSPARK,Columns,Core,F.lit(1),Use for adding constant values to DataFrame
.cast(),Cast column to different type,PYSPARK,Columns,Core,F.col("x").cast("double"),Cast early to avoid type errors downstream
.alias(),Rename column in expression,PYSPARK,Columns,Core,F.sum("amt").alias("total"),Always alias aggregated columns for clarity
df.filter(),Filter rows by condition,PYSPARK,Control Flow,Core,df.filter(F.col("x") > 0),Filter early to reduce data volume
df.where(),Filter with SQL expression,PYSPARK,Control Flow,Core,df.where("status = 'active'"),Interchangeable with filter; SQL-style syntax
F.when().otherwise(),Conditional column logic,PYSPARK,Control Flow,Core,F.when(F.col("x")>0; 1).otherwise(0),Chain multiple when() for case-when logic
F.coalesce(),Return first non-null value,PYSPARK,Control Flow,Core,F.coalesce("col1"; "col2"; "col3"),Essential for handling nulls in data
df.distinct(),Remove fully duplicate rows,PYSPARK,Control Flow,Core,df.distinct(),Expensive shuffle operation; use dropDuplicates for keys
df.dropDuplicates(),Remove duplicates by keys,PYSPARK,Control Flow,Core,df.dropDuplicates(["id"]),More efficient than distinct() for key-based dedup
df.orderBy(),Sort by columns,PYSPARK,Control Flow,Core,df.orderBy(F.col("date").desc()),Avoid unless needed; causes full data shuffle
df.limit(),Take first n rows,PYSPARK,Control Flow,Core,df.limit(100),Use for sampling; not guaranteed order without sort
df.groupBy().agg(),Group and aggregate,PYSPARK,Functions,Core,df.groupBy("key").agg(F.sum("val")),Core pattern for summarization and metrics
F.sum() / F.avg() / F.min() / F.max(),Aggregation functions,PYSPARK,Functions,Core,F.sum("amount"),Use within agg() for multiple aggregations
F.count() / F.countDistinct(),Count and distinct count,PYSPARK,Functions,Core,F.countDistinct("user_id"),countDistinct is expensive; consider approx_count_distinct
F.collect_list() / F.collect_set(),Collect values to array,PYSPARK,Functions,Advanced,F.collect_list("item"),Memory intensive; ensure group size is bounded
df.join(),Join two DataFrames,PYSPARK,Functions,Core,df.join(df2; "id"; "left"),Always specify join type; broadcast small tables
F.broadcast(),Hint to broadcast small table,PYSPARK,Functions,Core-N,df.join(F.broadcast(dim); "id"),Use for dimension tables < 10MB for performance
df.union() / df.unionByName(),Combine DataFrames vertically,PYSPARK,Functions,Core,df1.unionByName(df2),unionByName handles different column orders
Window.partitionBy(),Define window partition,PYSPARK,Functions,Core-N,Window.partitionBy("customer_id"),Partition on logical groupings for analytics
Window.orderBy(),Define window ordering,PYSPARK,Functions,Core-N,Window.partitionBy("id").orderBy("ts"),Required for ranking and running totals
F.row_number().over(),Sequential row number,PYSPARK,Functions,Core-N,F.row_number().over(window_spec),Use for deduplication; pick row where row_num = 1
F.rank() / F.dense_rank(),Ranking with/without gaps,PYSPARK,Functions,Advanced-N,F.rank().over(window_spec),rank() skips; dense_rank() is consecutive
F.lag() / F.lead(),Previous/next row values,PYSPARK,Functions,Advanced-N,F.lag("amount"; 1).over(w),Great for calculating deltas and changes
F.first() / F.last(),First/last value in window,PYSPARK,Functions,Advanced-N,F.first("val").over(w),Use with ignorenulls=True to skip nulls
F.to_date(),Parse string to date,PYSPARK,Data Types,Core,F.to_date("col"; "yyyy-MM-dd"),Specify format explicitly for reliability
F.to_timestamp(),Parse string to timestamp,PYSPARK,Data Types,Core,F.to_timestamp("col"; "yyyy-MM-dd HH:mm:ss"),Handles timezone; use for datetime columns
F.current_date() / F.current_timestamp(),Current date/timestamp,PYSPARK,Data Types,Core,F.current_timestamp(),Use for audit columns and incremental loads
F.year() / F.month() / F.dayofmonth(),Extract date components,PYSPARK,Data Types,Core,F.year("date_col"),Useful for partitioning and time-based analysis
F.date_add() / F.date_sub(),Add/subtract days from date,PYSPARK,Data Types,Core,F.date_add("date"; 7),Use for date arithmetic in business logic
F.datediff() / F.months_between(),Date/month differences,PYSPARK,Data Types,Core,F.datediff("end"; "start"),Returns integer days or decimal months
F.date_format(),Format date as string,PYSPARK,Data Types,Core,F.date_format("date"; "yyyy-MM"),Use for display or string-based partitions
F.trim() / F.ltrim() / F.rtrim(),Trim whitespace from string,PYSPARK,Strings,Core,F.trim("name"),Always trim user input and source data
F.upper() / F.lower(),Change string case,PYSPARK,Strings,Core,F.upper("name"),Use for case-insensitive comparisons
F.concat() / F.concat_ws(),Concatenate strings,PYSPARK,Strings,Core,F.concat_ws("-"; "a"; "b"),concat_ws handles nulls better with separator
F.substring(),Extract substring,PYSPARK,Strings,Core,F.substring("col"; 1; 3),1-indexed; use for fixed-position parsing
F.split(),Split string to array,PYSPARK,Strings,Core,F.split("col"; ","),Combine with explode to normalize data
F.regexp_replace(),Regex find and replace,PYSPARK,Strings,Core,F.regexp_replace("col"; "\\d+"; "X"),Use for data cleansing and standardization
F.regexp_extract(),Regex extract group,PYSPARK,Strings,Advanced,F.regexp_extract("col"; "(\\d+)"; 1),Group index is 1-based; 0 returns full match
F.length() / F.instr(),String length and find,PYSPARK,Strings,Core,F.length("name"),instr returns 0 if not found; 1-indexed position
df.na.fill(),Fill null values by column,PYSPARK,Error Handling,Core,df.na.fill({"col": 0; "name": "UNK"}),Provide column-specific defaults for nulls
df.na.drop(),Drop rows containing nulls,PYSPARK,Error Handling,Core,df.na.drop(subset=["id"]),Use subset to only check critical columns
df.na.replace(),Replace specific values,PYSPARK,Error Handling,Core,df.na.replace([""; "NA"]; None),Standardize bad values before processing
F.isnull() / F.isnotnull(),Check for null values,PYSPARK,Error Handling,Core,F.col("x").isNull(),Use in filter or when conditions for null handling
F.explode() / F.explode_outer(),Expand array to rows,PYSPARK,Collections,Advanced,F.explode("array_col"),explode_outer keeps nulls; explode drops them
F.array() / F.struct(),Create array/struct column,PYSPARK,Collections,Advanced,F.array("c1"; "c2"; "c3"),Use struct for nested JSON-like structures
F.size() / F.array_contains(),Array size and membership,PYSPARK,Collections,Advanced,F.array_contains("arr"; "val"),Returns -1 for null arrays; check for null first
F.from_json() / F.to_json(),Parse/create JSON,PYSPARK,Collections,Advanced-N,F.from_json("json_col"; schema),Schema required for parsing; infer or define explicitly
F.get_json_object(),Extract JSON field by path,PYSPARK,Collections,Advanced,F.get_json_object("json"; "$.field"),Use JSONPath syntax; returns string type
T.StructType() / T.StructField(),Define schema structure,PYSPARK,Data Types,Core-N,T.StructType([T.StructField("id"; T.StringType())]),Define explicit schemas for reliability over inference
df.printSchema(),Display schema tree,PYSPARK,I/O,Core,df.printSchema(),Use to verify column types and nesting
df.show(),Display rows as table,PYSPARK,I/O,Core,df.show(20; truncate=False),Set truncate=False to see full column values
df.count(),Count rows (triggers action),PYSPARK,Functions,Core,row_count = df.count(),Triggers job; cache first if reusing DataFrame
df.collect(),Collect all rows to driver,PYSPARK,Functions,Advanced,rows = df.collect(),Only for small results; causes OOM on large data
df.take(),Take n rows to driver,PYSPARK,Functions,Core,first_10 = df.take(10),Safer than collect; limits data to driver
df.explain(),Show query execution plan,PYSPARK,I/O,Advanced,df.explain(True),Use extended=True for detailed physical plan
df.cache(),Cache DataFrame in memory,PYSPARK,Functions,Core-N,df.cache(),Cache when reusing same DataFrame multiple times
df.persist(),Persist with storage level,PYSPARK,Functions,Advanced-N,df.persist(StorageLevel.MEMORY_AND_DISK),Use MEMORY_AND_DISK for large datasets
df.unpersist(),Remove from cache,PYSPARK,Functions,Advanced-N,df.unpersist(),Free memory when cached DataFrame no longer needed
df.checkpoint(),Truncate lineage,PYSPARK,Functions,Advanced-N,df.checkpoint(),Breaks long lineage chains; requires checkpoint dir
df.repartition(),Increase/redistribute partitions,PYSPARK,Functions,Advanced-N,df.repartition(200; "key"),Full shuffle; use for skewed data distribution
df.coalesce(),Decrease partitions without shuffle,PYSPARK,Functions,Advanced-N,df.coalesce(1),Use before writing to reduce small files
DeltaTable.forPath(),Reference Delta table by path,PYSPARK,I/O,Core-N,DeltaTable.forPath(spark; "Tables/Fact"),Use for external or unregistered Delta tables
DeltaTable.forName(),Reference Delta table by name,PYSPARK,I/O,Core-N,DeltaTable.forName(spark; "catalog.schema.table"),Preferred for Unity Catalog managed tables
.merge().whenMatched().whenNotMatched(),Delta upsert pattern,PYSPARK,I/O,Core-N,delta.merge(src; cond).whenMatchedUpdateAll().execute(),Core SCD pattern for dimensional updates
.delete(),Delete rows from Delta table,PYSPARK,I/O,Advanced-N,delta_table.delete("date < '2024-01-01'"),Use for data retention and cleanup
.update(),Update rows in Delta table,PYSPARK,I/O,Advanced-N,delta_table.update(condition; {"col": "val"}),Update in place; creates new version
.history(),Show Delta table versions,PYSPARK,I/O,Advanced-N,delta_table.history(),Review for auditing and time travel
OPTIMIZE,Compact small files (SQL),PYSPARK,I/O,Core-N,spark.sql("OPTIMIZE schema.table"),Run regularly; consider ZORDER for query columns
VACUUM,Remove old files (SQL),PYSPARK,I/O,Core-N,spark.sql("VACUUM schema.table RETAIN 168 HOURS"),Retain period must exceed longest running queries
F.input_file_name(),Get source file path,PYSPARK,I/O,Core-N,df.withColumn("_file"; F.input_file_name()),Track data lineage back to source files
deque(),Double-ended queue O(1) ends,PYTHON,Collections,Core,from collections import deque; dq = deque(),Use for queues; maxlen for sliding windows
dq.append() / dq.appendleft(),Add to right/left end,PYTHON,Collections,Core,dq.appendleft(x),O(1) both ends unlike list.insert(0)
dq.pop() / dq.popleft(),Remove from right/left end,PYTHON,Collections,Core,dq.popleft(),Use popleft for FIFO queue pattern
Counter(),Frequency counting dict,PYTHON,Collections,Core,from collections import Counter; cnt = Counter(lst),Great for word counts and histogram data
cnt.most_common(),Get top-k frequent items,PYTHON,Collections,Core,cnt.most_common(3),Returns list of (element count) tuples
defaultdict(),Dict with default factory,PYTHON,Collections,Core,from collections import defaultdict; dd = defaultdict(list),Avoids KeyError; auto-creates missing keys
heapq.heappush(),Push to min-heap O(log n),PYTHON,Collections,Core,import heapq; heapq.heappush(h; x),Use tuples for (priority item) patterns
heapq.heappop(),Pop smallest from heap,PYTHON,Collections,Core,smallest = heapq.heappop(h),Negate values for max-heap behavior
heapq.nlargest() / heapq.nsmallest(),Get n largest/smallest,PYTHON,Collections,Advanced,heapq.nlargest(3; lst),More efficient than sort for small n
bisect.bisect_left(),Find insertion point left,PYTHON,Collections,Advanced,import bisect; i = bisect.bisect_left(arr; x),O(log n) binary search on sorted list
bisect.insort(),Insert maintaining sorted order,PYTHON,Collections,Advanced,bisect.insort(arr; x),O(n) insert but finds position in O(log n)
@lru_cache,Memoization decorator,PYTHON,Functions,Core,from functools import lru_cache; @lru_cache(None),Essential for recursive algorithms; cache_clear() to reset
itertools.chain(),Flatten nested iterables,PYTHON,Functions,Advanced,from itertools import chain,chain.from_iterable for deeply nested
itertools.groupby(),Group consecutive elements,PYTHON,Functions,Advanced,from itertools import groupby,Data must be sorted first on group key
itertools.combinations() / permutations(),Generate combos/perms,PYTHON,Functions,Advanced,from itertools import combinations,Use r parameter to specify combination size
plt.figure(),Create new figure,MATPLOTLIB,I/O,Core,plt.figure(figsize=(10; 6)),Set figsize for consistent output dimensions
plt.subplots(),Create figure with subplots,MATPLOTLIB,I/O,Core,fig; ax = plt.subplots(2; 2),Preferred over plt.figure() for control
plt.plot(),Line plot,MATPLOTLIB,Functions,Core,plt.plot(x; y; label="data"),Use for time series and continuous data
plt.scatter(),Scatter plot,MATPLOTLIB,Functions,Core,plt.scatter(x; y; c=colors; s=sizes),Use c and s for third/fourth dimensions
plt.bar() / plt.barh(),Bar chart vertical/horizontal,MATPLOTLIB,Functions,Core,plt.bar(categories; values),Use barh when labels are long
plt.hist(),Histogram,MATPLOTLIB,Functions,Core,plt.hist(data; bins=20),Adjust bins based on data distribution
plt.pie(),Pie chart,MATPLOTLIB,Functions,Advanced,plt.pie(sizes; labels=labels),Use sparingly; bar charts often clearer
plt.xlabel() / plt.ylabel(),Set axis labels,MATPLOTLIB,Strings,Core,plt.xlabel("X Axis"),Always label axes for interpretability
plt.title(),Set plot title,MATPLOTLIB,Strings,Core,plt.title("My Chart"),Keep titles concise and descriptive
plt.legend(),Show legend,MATPLOTLIB,I/O,Core,plt.legend(loc="upper right"),Required when multiple series plotted
plt.grid(),Toggle grid lines,MATPLOTLIB,I/O,Core,plt.grid(True),Improves readability for data analysis
plt.xlim() / plt.ylim(),Set axis limits,MATPLOTLIB,Functions,Core,plt.xlim(0; 100),Use to focus on specific data ranges
plt.xticks() / plt.yticks(),Set tick positions/labels,MATPLOTLIB,Functions,Advanced,plt.xticks(rotation=45),Rotate labels to prevent overlap
plt.savefig(),Save figure to file,MATPLOTLIB,I/O,Core,plt.savefig("plot.png"; dpi=300),Use dpi=300+ for publication quality
plt.show(),Display figure,MATPLOTLIB,I/O,Core,plt.show(),In notebooks use %matplotlib inline instead
ax.set_xlabel() / ax.set_ylabel(),Set axis labels (OO style),MATPLOTLIB,Strings,Core,ax.set_xlabel("X"),OO style preferred for complex figures
ax.set_title(),Set subplot title (OO style),MATPLOTLIB,Strings,Core,ax.set_title("Subplot 1"),Each subplot can have its own title
plt.tight_layout(),Auto-adjust subplot spacing,MATPLOTLIB,I/O,Core,plt.tight_layout(),Call before savefig to prevent clipping
plt.colorbar(),Add colorbar to plot,MATPLOTLIB,I/O,Advanced,plt.colorbar(),Essential for heatmaps and color-coded plots
train_test_split(),Split data into train/test,SKLEARN,Functions,Core,from sklearn.model_selection import train_test_split,Always set random_state for reproducibility
X_train; X_test; y_train; y_test = train_test_split(),Unpack train/test split,SKLEARN,Functions,Core,X_train; X_test; y_train; y_test = train_test_split(X; y; test_size=0.2),Use stratify=y for imbalanced classification
model.fit(),Train model on data,SKLEARN,Functions,Core,model.fit(X_train; y_train),Only fit on training data never test
model.predict(),Generate predictions,SKLEARN,Functions,Core,y_pred = model.predict(X_test),Use predict_proba for probability outputs
model.score(),Evaluate model accuracy,SKLEARN,Functions,Core,accuracy = model.score(X_test; y_test),Default metric varies by model type
StandardScaler(),Standardize features (z-score),SKLEARN,Data Types,Core,from sklearn.preprocessing import StandardScaler,Essential for distance-based algorithms
scaler.fit_transform(),Fit and transform data,SKLEARN,Functions,Core,X_scaled = scaler.fit_transform(X_train),Only fit_transform on training data
scaler.transform(),Transform new data,SKLEARN,Functions,Core,X_test_scaled = scaler.transform(X_test),Use same scaler fitted on train for test
LabelEncoder(),Encode categorical labels,SKLEARN,Data Types,Core,from sklearn.preprocessing import LabelEncoder,For target variable; use OneHotEncoder for features
OneHotEncoder(),One-hot encode categories,SKLEARN,Data Types,Core,from sklearn.preprocessing import OneHotEncoder,Use sparse=False for dense matrix output
LinearRegression(),Linear regression model,SKLEARN,Functions,Core,from sklearn.linear_model import LinearRegression,Baseline for regression; check assumptions
LogisticRegression(),Logistic regression classifier,SKLEARN,Functions,Core,from sklearn.linear_model import LogisticRegression,Good baseline classifier; increase max_iter if needed
DecisionTreeClassifier(),Decision tree classifier,SKLEARN,Functions,Core,from sklearn.tree import DecisionTreeClassifier,Prone to overfitting; tune max_depth
RandomForestClassifier(),Random forest classifier,SKLEARN,Functions,Core,from sklearn.ensemble import RandomForestClassifier,Robust default; check feature_importances_
KMeans(),K-means clustering,SKLEARN,Functions,Core,from sklearn.cluster import KMeans,Use elbow method to find optimal n_clusters
accuracy_score(),Classification accuracy metric,SKLEARN,Functions,Core,from sklearn.metrics import accuracy_score,Misleading for imbalanced classes
confusion_matrix(),Confusion matrix for classification,SKLEARN,Functions,Core,from sklearn.metrics import confusion_matrix,Essential for understanding error types
classification_report(),Precision/recall/F1 report,SKLEARN,Functions,Core,from sklearn.metrics import classification_report,More complete than accuracy alone
mean_squared_error(),MSE for regression,SKLEARN,Functions,Core,from sklearn.metrics import mean_squared_error,Use squared=False for RMSE
r2_score(),R-squared for regression,SKLEARN,Functions,Core,from sklearn.metrics import r2_score,1.0 is perfect; can be negative for bad fits
cross_val_score(),K-fold cross-validation,SKLEARN,Functions,Core,from sklearn.model_selection import cross_val_score,Better estimate than single train/test split
GridSearchCV(),Hyperparameter grid search,SKLEARN,Functions,Advanced,from sklearn.model_selection import GridSearchCV,Use n_jobs=-1 for parallelization
Pipeline(),Chain preprocessing and model,SKLEARN,Functions,Advanced,from sklearn.pipeline import Pipeline,Prevents data leakage; cleaner code
SELECT col1; col2 FROM table,Basic query structure,SQL,I/O,Core,SELECT id; name FROM users,Only select columns you need for performance
SELECT * FROM table,Select all columns,SQL,I/O,Core,SELECT * FROM orders,Avoid in production; explicit columns preferred
SELECT DISTINCT col,Select unique values only,SQL,I/O,Core,SELECT DISTINCT category FROM products,Can be expensive; consider GROUP BY instead
WHERE condition,Filter rows pre-aggregation,SQL,Control Flow,Core,WHERE status = 'active',Filter early to reduce data processed
AND / OR / NOT,Logical operators for conditions,SQL,Operators,Core,WHERE x > 0 AND y < 100,Use parentheses for complex conditions
IN (v1; v2; ...),Membership filter,SQL,Operators,Core,WHERE status IN ('active'; 'pending'),More readable than multiple ORs
BETWEEN a AND b,Inclusive range filter,SQL,Operators,Core,WHERE price BETWEEN 10 AND 50,Inclusive of both endpoints
LIKE '%pattern%',String pattern matching,SQL,Operators,Core,WHERE name LIKE '%smith%',Leading % prevents index usage
IS NULL / IS NOT NULL,Null value checking,SQL,Operators,Core,WHERE email IS NOT NULL,Cannot use = NULL; must use IS NULL
AS,Alias for column or table,SQL,I/O,Core,SELECT name AS customer_name,Use short table aliases in joins
CASE WHEN ... THEN ... ELSE ... END,Conditional expression,SQL,Control Flow,Core,CASE WHEN x > 0 THEN 'pos' ELSE 'neg' END,Essential for data transformations
COALESCE(a; b; c),Return first non-null value,SQL,Functions,Core,COALESCE(nickname; name; 'Unknown'),Standard way to handle nulls
NULLIF(a; b),Return null if values equal,SQL,Functions,Advanced,NULLIF(value; 0),Prevents divide by zero errors
CAST(x AS TYPE),Convert to different data type,SQL,Data Types,Core,CAST(price AS DECIMAL(10;2)),Required for type-sensitive operations
ORDER BY col ASC/DESC,Sort results,SQL,Control Flow,Core,ORDER BY created_at DESC,Last step; only sort when needed
LIMIT n,Limit result rows,SQL,Control Flow,Core,LIMIT 100,Always use with ORDER BY for consistency
GROUP BY col1; col2,Group rows for aggregation,SQL,Control Flow,Core,GROUP BY category; region,Include all non-aggregated SELECT columns
HAVING condition,Filter after aggregation,SQL,Control Flow,Core,HAVING COUNT(*) > 10,Use for filtering on aggregate results
COUNT(*),Count all rows,SQL,Functions,Core,SELECT COUNT(*) FROM orders,Includes nulls; faster than COUNT(col)
COUNT(DISTINCT col),Count unique values,SQL,Functions,Core,COUNT(DISTINCT customer_id),Expensive; consider approx functions for big data
SUM(col),Sum of values,SQL,Functions,Core,SUM(amount),Nulls ignored; use COALESCE if needed
AVG(col),Average of values,SQL,Functions,Core,AVG(price),Nulls excluded from average calculation
MIN(col) / MAX(col),Minimum/maximum value,SQL,Functions,Core,MIN(created_at),Efficient with indexes
INNER JOIN ... ON,Join matching rows only,SQL,Functions,Core,INNER JOIN customers c ON o.customer_id = c.id,Default join type; rows must match both sides
LEFT JOIN ... ON,Keep all left table rows,SQL,Functions,Core,LEFT JOIN orders o ON c.id = o.customer_id,Most common; preserves base table rows
RIGHT JOIN ... ON,Keep all right table rows,SQL,Functions,Advanced,RIGHT JOIN products p ON oi.product_id = p.id,Rarely used; rewrite as LEFT JOIN for clarity
FULL OUTER JOIN,Keep all rows from both tables,SQL,Functions,Advanced,FULL OUTER JOIN a ON b.id = a.id,Use for data comparison and reconciliation
CROSS JOIN,Cartesian product of tables,SQL,Functions,Advanced,CROSS JOIN dates d,Use for date scaffolding and combinations
UNION / UNION ALL,Combine result sets,SQL,Functions,Core,SELECT * FROM t1 UNION ALL SELECT * FROM t2,UNION removes dupes; ALL keeps all rows (faster)
WITH cte AS (...),Common Table Expression,SQL,I/O,Core,WITH active_users AS (SELECT * FROM users WHERE active),Improves readability; can be referenced multiple times
ROW_NUMBER() OVER (...),Sequential row number,SQL,Functions,Core,ROW_NUMBER() OVER (PARTITION BY id ORDER BY dt DESC),Use for dedup: WHERE rn = 1
RANK() / DENSE_RANK() OVER (...),Ranking with/without gaps,SQL,Functions,Core,RANK() OVER (ORDER BY score DESC),RANK skips numbers for ties; DENSE_RANK doesn't
LAG(col) / LEAD(col) OVER (...),Previous/next row value,SQL,Functions,Core-N,LAG(value) OVER (PARTITION BY id ORDER BY dt),Great for calculating changes between rows
SUM(col) OVER (...),Running/window sum,SQL,Functions,Core-N,SUM(amount) OVER (PARTITION BY id ORDER BY dt),Add ROWS UNBOUNDED PRECEDING for running total
PARTITION BY,Window function grouping,SQL,Functions,Core,OVER (PARTITION BY customer_id ORDER BY date),Like GROUP BY but preserves individual rows
EXTRACT(part FROM date),Extract date component,SQL,Data Types,Core,EXTRACT(YEAR FROM created_at),Part can be YEAR MONTH DAY HOUR etc
DATE_TRUNC('unit'; date),Truncate date to unit,SQL,Data Types,Core,DATE_TRUNC('month'; created_at),Useful for period-based grouping
CURRENT_DATE / CURRENT_TIMESTAMP,Current date/timestamp,SQL,Data Types,Core,WHERE created_at >= CURRENT_DATE,Use for relative date filtering
